"","Call.Number","Date.Time","Location","Police.District","Nature.of.Call","Status","Last Updated"
"71",230690481,"03/10/2023 08:14:01 AM","3942 N 18TH ST,MKE","5","TRAFFIC HAZARD","Assignment Completed",NA
"72",230690438,"03/10/2023 08:12:49 AM","5819 W ST PAUL AV,MKE","3","WELFARE CITIZEN","Advised",NA
"73",230690546,"03/10/2023 08:46:25 AM","210 N 38TH ST,MKE","3","BATTERY DV","Service in Progress",NA
"74",230690511,"03/10/2023 08:23:21 AM","951 N JAMES LOVELL ST,MKE","1","RETURN STATION","Assignment Completed",NA
"75",230690495,"03/10/2023 08:10:25 AM","949 N 9TH ST,MKE","1","COURT DUTY","Assignment Completed",NA
"76",230690484,"03/10/2023 08:04:50 AM","749 W STATE ST,MKE","1","REPORTS","To be Filed",NA
"77",230690480,"03/10/2023 08:03:32 AM","3000 W CANAL ST,MKE","3","ASSIGN-ADMN MPD","Assignment Completed",NA
"78",230690494,"03/10/2023 08:10:16 AM","949 N 9TH ST,MKE","1","COURT DUTY","Assignment Completed",NA
"79",230690475,"03/10/2023 08:29:41 AM","N WATER ST / E ST PAUL AV,MKE","1","CRUELTY ANIMAL","To be Filed",NA
"80",230690466,"03/10/2023 08:22:05 AM","S HERMAN ST / E WILBUR AV,MKE","6","WIRES DOWN","Assignment Completed",NA
"81",230700689,"03/11/2023 01:44:39 PM","W KINNICKINNIC RIVER PK / W FOREST HOME AV,MKE","6","ACC PI","Service in Progress",NA
"82",230700680,"03/11/2023 01:44:03 PM","N 35TH ST / W SILVER SPRING DR,MKE","4","THREAT","Unable to Locate Complainant",NA
"83",230700698,"03/11/2023 01:43:31 PM","4634 N 54TH ST,MKE","7","CALL FOR POLICE","Service in Progress",NA
"84",230700580,"03/11/2023 01:43:21 PM","8918 N 85TH ST,MKE","4","RECK USE OF WEAP","Service in Progress",NA
"85",230700695,"03/11/2023 01:42:10 PM","6929 W SILVER SPRING DR,MKE","4","MED RUN","Service in Progress",NA
"86",230700697,"03/11/2023 01:41:05 PM","5315 W OHIO AV,MKE","6","THEFT VEHICLE","To be Filed",NA
"87",230700692,"03/11/2023 01:38:53 PM","2957 N 56TH ST,MKE","7","FOLLOW UP","Service in Progress",NA
"88",230700618,"03/11/2023 01:36:59 PM","6212 W SPENCER PL,MKE","7","ENTRY TO AUTO","Service in Progress",NA
"89",230700640,"03/11/2023 01:36:45 PM","2818 W MC KINLEY BL,MKE","3","LANDLORD/TEN TRB","Advised",NA
"90",230700661,"03/11/2023 01:35:14 PM","N 27TH ST / W HIGHLAND AV,MKE","3","THREAT","Unable to Locate Complainant",NA
"91",230700648,"03/11/2023 01:10:19 PM","5419 N 83RD ST,MKE","4","SUSP PERS/AUTO","Advised",NA
"92",230700643,"03/11/2023 12:59:15 PM","1432 W LOCUST ST,MKE","5","SHOOTING","Service in Progress",NA
"93",230700656,"03/11/2023 01:51:45 PM","2823 N 29TH ST,MKE","5","FAMILY TROUBLE","Service in Progress",NA
"94",230700709,"03/11/2023 01:49:16 PM","N 65TH ST / W BLUE MOUND RD,MKE","3","SPECIAL ASSIGN","Service in Progress",NA
"95",230700706,"03/11/2023 01:48:12 PM","2333 N 49TH ST,MKE","3","RETURN STATION","Assignment Completed",NA
"96",230700702,"03/11/2023 01:47:01 PM","563 W FIEBRANTZ AV,MKE","5","BATTERY DV","Service in Progress",NA
"97",230700690,"03/11/2023 01:46:18 PM","2666 N 36TH ST,MKE","3","TRAFFIC HAZARD","Assignment Completed",NA
"98",230700696,"03/11/2023 01:45:58 PM","2781 W MORGAN AV,MKE","6","WELFARE CITIZEN","Unable to Locate Complainant",NA
"99",230700698,"03/11/2023 01:43:31 PM","4634 N 54TH ST,MKE","7","CALL FOR POLICE","Unable to Locate Complainant",NA
"100",230700580,"03/11/2023 01:43:21 PM","8918 N 85TH ST,MKE","4","RECK USE OF WEAP","Unable to Locate Complainant",NA
"101",230700692,"03/11/2023 01:38:53 PM","2957 N 56TH ST,MKE","7","FOLLOW UP","Assignment Completed",NA
"102",230700735,"03/11/2023 02:08:28 PM","1500 W NORTH AV,MKE","3","PATROL","Service in Progress",NA
"103",230700732,"03/11/2023 02:06:17 PM","2333 N 49TH ST,MKE","3","RETURN STATION","Service in Progress",NA
"104",230700728,"03/11/2023 02:04:32 PM","4470 N 52ND ST,MKE","7","SUBJ WITH GUN","Service in Progress",NA
"105",230700686,"03/11/2023 01:30:47 PM","9431 W BELOIT RD,MKE","6","FAMILY TROUBLE","Advised",NA
"106",230700679,"03/11/2023 01:29:59 PM","6425 N 60TH ST,MKE","4","ENTRY TO AUTO","Assignment Completed",NA
"107",230700678,"03/11/2023 01:25:21 PM","S 6TH ST / W BECHER ST,MKE","2","TRAFFIC HAZARD","Assignment Completed",NA
"108",230700677,"03/11/2023 01:23:33 PM","820 E BRADY ST,MKE","1","WELFARE CITIZEN","Advised",NA
"109",230700617,"03/11/2023 01:12:38 PM","2235 S KINNICKINNIC AV,MKE","6","PROPERTY PICKUP","Assignment Completed",NA
"110",230700744,"03/11/2023 02:14:59 PM","2333 N 49TH ST,MKE","3","PROPERTY PICKUP","Service in Progress",NA
"111",230700742,"03/11/2023 02:14:34 PM","3154 N 11TH ST,MKE","5","PROBATION/PAROLE","Service in Progress",NA
"112",230700618,"03/11/2023 01:36:59 PM","6212 W SPENCER PL,MKE","7","ENTRY TO AUTO","To be Filed",NA
"113",230700679,"03/11/2023 01:29:59 PM","6425 N 60TH ST,MKE","4","ENTRY TO AUTO","To be Filed",NA
"114",230700628,"03/11/2023 01:26:00 PM","200 N 35TH ST,MKE","3","ACC PDO","To be Filed",NA
"115",230700649,"03/11/2023 01:25:54 PM","S 31ST ST / W LINCOLN AV,MKE","2","ACC PDO","To be Filed",NA
"116",230700760,"03/11/2023 02:35:22 PM","209 W ORCHARD ST,MKE","2","TRBL W/SUBJ","Service in Progress",NA
"117",230750371,"03/16/2023 07:49:42 AM","749 W STATE ST,MKE","1","OUT OF SERVICE","Assignment Completed",NA
"118",230750370,"03/16/2023 07:48:20 AM","2900 N MURRAY AV,MKE","1","PARK AND WALK","Service in Progress",NA
"119",230750356,"03/16/2023 07:47:19 AM","N 89TH ST / W BRENTWOOD AV,MKE","4","RECK USE OF WEAP","Unable to Locate Complainant",NA
"120",230750369,"03/16/2023 07:47:08 AM","5600 N 95TH ST,MKE","4","FOLLOW UP","Service in Progress",NA
"121",230750365,"03/16/2023 07:40:49 AM","N 27TH ST / W CAPITOL DR,MKE","5","ACC PDO","Service in Progress",NA
"122",230750360,"03/16/2023 07:38:37 AM","1937 N 27TH ST,MKE","3","PROPERTY DAMAGE","Advised",NA
"123",230750364,"03/16/2023 07:38:23 AM","3433 N 76TH ST,MKE","7","TRAFFIC STOP","City Citation(s) Issued",NA
"124",230750363,"03/16/2023 07:38:16 AM","245 W LINCOLN AV,MKE","2","REPORTS","Service in Progress",NA
"125",230750362,"03/16/2023 07:36:34 AM","4715 W VLIET ST,MKE","3","ASSIGNMENT","Service in Progress",NA
"126",230750357,"03/16/2023 07:32:43 AM","2120 N 46TH ST,MKE","3","FOLLOW UP","Assignment Completed",NA
"127",230750354,"03/16/2023 07:28:06 AM","2323 E BRADFORD AV,MKE","1","BUSINESS CHECK","Assignment Completed",NA
"128",230750353,"03/16/2023 07:26:20 AM","6929 W SILVER SPRING DR,MKE","4","RETURN STATION","Assignment Completed",NA
"129",230750348,"03/16/2023 07:23:40 AM","1556 S 7TH ST,MKE","2","CALL FOR POLICE","Unable to Locate Complainant",NA
"130",230750351,"03/16/2023 07:23:37 AM","2333 N 49TH ST,MKE","3","RETURN STATION","Assignment Completed",NA
"131",230750350,"03/16/2023 07:23:14 AM","6680 N TEUTONIA AV,MKE","4","SPECIAL ASSIGN","Service in Progress",NA
"132",230750349,"03/16/2023 07:18:57 AM","6929 W SILVER SPRING DR,MKE","4","RETURN STATION","Assignment Completed",NA
"133",230750347,"03/16/2023 07:18:31 AM","5167 N LOVERS LANE RD,MKE","4","FOLLOW UP","Assignment Completed",NA
"134",230750345,"03/16/2023 07:17:55 AM","1017 S 19TH ST,MKE","2","HOME VISIT DV","Assignment Completed",NA
"135",230750343,"03/16/2023 07:16:36 AM","N 12TH ST / W HIGHLAND AV,MKE","3","WELFARE CITIZEN","Advised",NA
"136",230750344,"03/16/2023 07:15:55 AM","749 W STATE ST,MKE","1","PRISONER TRANS","Service in Progress",NA
"137",230750341,"03/16/2023 07:10:11 AM","805 E MASON ST,MKE","1","SPECIAL ASSIGN","Service in Progress",NA
"138",230750334,"03/16/2023 07:07:38 AM","2725 W HIGHLAND BL,MKE","3","THREAT","Unable to Locate Complainant",NA
"139",230750332,"03/16/2023 07:06:56 AM","1040 N CASS ST,MKE","1","TRBL W/SUBJ","Advised",NA
"140",230750337,"03/16/2023 07:01:40 AM","907 W GREENFIELD AV,MKE","2","TRBL W/SUBJ","Assignment Completed",NA
"141",230750336,"03/16/2023 06:59:03 AM","411 E WISCONSIN AV,MKE","1","SPECIAL ASSIGN","Service in Progress",NA
"142",230750292,"03/16/2023 06:58:26 AM","6639 W MOLTKE AV,MKE","7","THEFT","Unable to Locate Complainant",NA
"143",230750330,"03/16/2023 06:57:14 AM","550 N VAN BUREN ST,MKE","1","TRBL W/SUBJ","Unable to Locate Complainant",NA
"144",230750324,"03/16/2023 06:56:03 AM","1318 S 22ND ST,MKE","2","SUSP PERS/AUTO","Unable to Locate Complainant",NA
"145",230750329,"03/16/2023 06:53:50 AM","N 89TH ST / W MILL RD,MKE","4","BATTERY","Advised",NA
"146",230750328,"03/16/2023 06:50:39 AM","938 S 11TH ST,MKE","2","CALL FOR POLICE","Advised",NA
"147",230750379,"03/16/2023 07:59:37 AM","3626 W FOND DU LAC AV,MKE","7","REPORTS","Service in Progress",NA
"148",230750377,"03/16/2023 07:57:11 AM","3626 W FOND DU LAC AV,MKE","7","SPECIAL ASSIGN","Service in Progress",NA
"149",230750374,"03/16/2023 07:53:49 AM","1941 S 28TH ST,MKE","2","HOME VISIT DV","Service in Progress",NA
"150",230750373,"03/16/2023 07:53:19 AM","2975 N 39TH ST,MKE","7","FOLLOW UP","Assignment Completed",NA
"151",230750372,"03/16/2023 07:50:06 AM","2659 N RICHARDS ST,MKE","5","ASSIGN-ADMN MPD","Service in Progress",NA
"152",230750362,"03/16/2023 07:36:34 AM","4715 W VLIET ST,MKE","3","ASSIGNMENT","Assignment Completed",NA
"153",230750388,"03/16/2023 08:09:38 AM","6929 W SILVER SPRING DR,MKE","4","INVESTIGATION","Assignment Completed",NA
"154",230750386,"03/16/2023 08:08:10 AM","2333 N 49TH ST,MKE","3","MED RUN","Service in Progress",NA
"155",230750382,"03/16/2023 08:07:52 AM","1306 N 39TH ST,MKE","3","BATTERY DV","Service in Progress",NA
"156",230750383,"03/16/2023 08:07:34 AM","2019 N 22ND ST,MKE","3","FOLLOW UP","Assignment Completed",NA
"157",230750355,"03/16/2023 08:06:58 AM","1555 S 6TH ST,MKE","2","TRBL W/SUBJ","Service in Progress",NA
"158",230750380,"03/16/2023 08:02:00 AM","S 21ST ST / W BURNHAM ST,MKE","2","WELFARE CITIZEN","Service in Progress",NA
"159",230750350,"03/16/2023 07:23:14 AM","6680 N TEUTONIA AV,MKE","4","SPECIAL ASSIGN","Assignment Completed",NA
"160",230750359,"03/16/2023 08:14:28 AM","7001 N 43RD ST,MKE","4","NOISE NUISANCE","Service in Progress",NA
"161",230750366,"03/16/2023 08:14:04 AM","1100 N CASS ST,MKE","1","TRBL W/SUBJ","Service in Progress",NA
"162",230750358,"03/16/2023 08:13:33 AM","11800 W SILVER SPRING DR,MKE","4","TRBL W/SUBJ","Service in Progress",NA
"163",230750395,"03/16/2023 08:13:33 AM","1550 S 25TH ST,MKE","2","SHOTSPOTTER","Service in Progress",NA
"164",230750394,"03/16/2023 08:12:47 AM","6680 N TEUTONIA AV,MKE","4","ASSIGN-ADMN MPD","Assignment Completed",NA
"165",230750393,"03/16/2023 08:12:45 AM","3006 S 27TH ST,MKE","6","ASSIGN-ADMN MPD","Service in Progress",NA
"166",230750392,"03/16/2023 08:12:03 AM","749 W STATE ST,MKE","1","ASSIGN-ADMN MPD","Service in Progress",NA
"167",230750389,"03/16/2023 08:10:28 AM","749 W STATE ST,MKE","1","FOLLOW UP","Service in Progress",NA
"168",230750386,"03/16/2023 08:08:10 AM","2333 N 49TH ST,MKE","3","MED RUN","Assignment Completed",NA
"169",230750370,"03/16/2023 07:48:20 AM","2900 N MURRAY AV,MKE","1","PARK AND WALK","Assignment Completed",NA
"170",230750405,"03/16/2023 08:25:00 AM","3811 W LINCOLN AV,MKE","2","SPECIAL ASSIGN","Service in Progress",NA
"171",230750368,"03/16/2023 08:24:51 AM","2300 S 51ST ST,MKE","6","ESCORT","Service in Progress",NA
"172",230750404,"03/16/2023 08:23:46 AM","5000 W STATE ST,MKE","3","BUSINESS CHECK","Assignment Completed",NA
"173",230750375,"03/16/2023 08:23:28 AM","S 20TH ST / W LINCOLN AV,MKE","2","ACC PDO","Service in Progress",NA
"174",230750397,"03/16/2023 08:21:37 AM","4910 W LOCUST ST,MKE","7","WELFARE CITIZEN","Service in Progress",NA
"175",230750402,"03/16/2023 08:21:37 AM","N 60TH ST / W GREEN TREE RD,MKE","4","TRAFFIC HAZARD","Service in Progress",NA
"176",230750400,"03/16/2023 08:21:32 AM","2969 S 37TH ST,MKE","6","CALL FOR POLICE","Service in Progress",NA
"177",230750391,"03/16/2023 08:21:10 AM","9628 W CENTER ST,MKE","7","SUSP PERS/AUTO","Service in Progress",NA
"178",230750399,"03/16/2023 08:19:25 AM","2326 W ST PAUL AV,MKE","3","ASSIGN-ADMN MPD","Assignment Completed",NA
"179",230750385,"03/16/2023 08:17:33 AM","3345 W HIGHLAND BL,MKE","3","TRBL W/SUBJ","Service in Progress",NA
"180",230750398,"03/16/2023 08:16:52 AM","2920 N VEL R PHILLIPS AV,MKE","5","SPECIAL ASSIGN","Service in Progress",NA
"181",230750384,"03/16/2023 08:16:01 AM","809 W GALENA ST,MKE","5","FIGHT","Unable to Locate Complainant",NA
"182",230750366,"03/16/2023 08:14:04 AM","1100 N CASS ST,MKE","1","TRBL W/SUBJ","Advised",NA
"183",230750355,"03/16/2023 08:06:58 AM","1555 S 6TH ST,MKE","2","TRBL W/SUBJ","Unable to Locate Complainant",NA
"184",230750417,"03/16/2023 08:35:00 AM","W HOPE AV / N 62ND ST,MKE","7","ENTRY","Assignment Completed",NA
"185",230750418,"03/16/2023 08:33:18 AM","5862 N 68TH ST,MKE","4","TRAFFIC STOP","Service in Progress",NA
"186",230750411,"03/16/2023 08:32:58 AM","3371 N RICHARDS ST,MKE","5","SUBJ WITH GUN","Service in Progress",NA
"187",230750413,"03/16/2023 08:30:51 AM","949 N 9TH ST,MKE","1","COURT DUTY","Service in Progress",NA
"188",230750410,"03/16/2023 08:30:14 AM","3345 W HIGHLAND BL,MKE","3","SUBJ WITH WEAPON","Service in Progress",NA
"189",230750409,"03/16/2023 08:28:41 AM","2333 N 49TH ST,MKE","3","ASSIGNMENT","Service in Progress",NA
"190",230750361,"03/16/2023 08:28:13 AM","2229 W GREENFIELD AV,MKE","2","TRBL W/SUBJ","Unable to Locate Complainant",NA
"191",230750408,"03/16/2023 08:28:12 AM","350 N PLANKINTON AV,MKE","1","CITIZEN CONTACT","Advised",NA
"192",230750407,"03/16/2023 08:26:51 AM","245 W LINCOLN AV,MKE","2","MED RUN","Assignment Completed",NA
"193",230750406,"03/16/2023 08:26:21 AM","1823 N 24TH ST,MKE","3","FOLLOW UP","To be Filed",NA
"194",230750397,"03/16/2023 08:21:37 AM","4910 W LOCUST ST,MKE","7","WELFARE CITIZEN","Unable to Locate Complainant",NA
"195",230750400,"03/16/2023 08:21:32 AM","2969 S 37TH ST,MKE","6","CALL FOR POLICE","Assignment Completed",NA
"196",230750395,"03/16/2023 08:13:33 AM","1550 S 25TH ST,MKE","2","SHOTSPOTTER","Unable to Locate Complainant",NA
"197",230750380,"03/16/2023 08:02:00 AM","S 21ST ST / W BURNHAM ST,MKE","2","WELFARE CITIZEN","Advised",NA
"198",230750374,"03/16/2023 07:53:49 AM","1941 S 28TH ST,MKE","2","HOME VISIT DV","Assignment Completed",NA
"199",230750429,"03/16/2023 08:49:28 AM","5496 N 72ND ST,MKE","4","TRBL W/JUV","Service in Progress",NA
"200",230750422,"03/16/2023 08:48:55 AM","6000 W SILVER SPRING DR,MKE","4","CALL FOR POLICE","Service in Progress",NA
"201",230750376,"03/16/2023 08:47:19 AM","W STATE ST / N 6TH ST,MKE","1","STOLEN VEHICLE","Service in Progress",NA
"202",230750430,"03/16/2023 08:47:11 AM","4715 W VLIET ST,MKE","3","SPECIAL ASSIGN","Service in Progress",NA
"203",230750427,"03/16/2023 08:45:00 AM","949 N 9TH ST,MKE","1","COURT DUTY","Service in Progress",NA
"204",230750415,"03/16/2023 08:44:43 AM","5202 W BURNHAM ST,WMW","2","WELFARE CITIZEN","Service in Progress",NA
"205",230750426,"03/16/2023 08:43:54 AM","230 E CAPITOL DR,MKE","5","INVESTIGATION","Assignment Completed",NA
"206",230750425,"03/16/2023 08:41:50 AM","4402 N 39TH ST,MKE","7","FOLLOW UP","Assignment Completed",NA
"207",230750423,"03/16/2023 08:39:40 AM","6680 N TEUTONIA AV,MKE","4","PROPERTY PICKUP","Service in Progress",NA
"208",230750396,"03/16/2023 08:35:22 AM","N 27TH ST / W TOWNSEND ST,MKE","5","TRAFFIC HAZARD","Assignment Completed",NA
"209",230750418,"03/16/2023 08:33:18 AM","5862 N 68TH ST,MKE","4","TRAFFIC STOP","Advised",NA
"210",230750411,"03/16/2023 08:32:58 AM","3371 N RICHARDS ST,MKE","5","SUBJ WITH GUN","Advised/Referral",NA
"211",230750410,"03/16/2023 08:30:14 AM","3345 W HIGHLAND BL,MKE","3","SUBJ WITH WEAPON","Advised/Referral",NA
"212",230750375,"03/16/2023 08:23:28 AM","S 20TH ST / W LINCOLN AV,MKE","2","ACC PDO","To be Filed",NA
"213",230750358,"03/16/2023 08:13:33 AM","11800 W SILVER SPRING DR,MKE","4","THREAT","Service in Progress",NA
"214",230750377,"03/16/2023 07:57:11 AM","3626 W FOND DU LAC AV,MKE","7","SPECIAL ASSIGN","Assignment Completed",NA
"215",230750372,"03/16/2023 07:50:06 AM","2659 N RICHARDS ST,MKE","5","ASSIGN-ADMN MPD","Assignment Completed",NA
"216",230750302,"03/16/2023 08:59:30 AM","2707 W BURLEIGH ST,MKE","5","ASSIGNMENT","Service in Progress",NA
"217",230750447,"03/16/2023 08:58:13 AM","949 N 9TH ST,MKE","1","COURT DUTY","Service in Progress",NA
"218",230750446,"03/16/2023 08:57:29 AM","125 N 25TH ST,MKE","3","ASSIGN-ADMN MPD","Assignment Completed",NA
